,school_name,city,lat,lon,altitude
81,Tincher Preparatory School,LongBeach,33.78746842698447,-118.10063395286585,0.0
82,IVA - Intellectual Virtues Academy Middle School,LongBeach,33.822273,-118.186548,0.0
83,Ernest S. McBride Sr. High School,LongBeach,33.82952345454545,-118.09667039393939,0.0
84,Helen Keller Middle,LongBeach,33.825025714285715,-118.09540842857142,0.0
85,Burcham Elementary School,LongBeach,33.822129751632986,-118.12295941166533,0.0
86,Carver Elementary School,LongBeach,33.8145261,-118.1292675,0.0
87,Cubberley K-8,LongBeach,33.815256,-118.102591,0.0
88,Emerson Parkside Academy,LongBeach,33.80377736734694,-118.10538102040817,0.0
89,Longfellow Elementary School,LongBeach,33.826825,-118.182565,0.0
90,Lowell Elementary School,LongBeach,33.764243,-118.131933,0.0
91,Marshall Academy Of The Arts,LongBeach,33.81872840865371,-118.11755814310621,0.0
92,Rogers Middle School,LongBeach,33.767058899999995,-118.13209767382298,0.0
93,Addams Elementary School,LongBeach,33.8534986744186,-118.19163337209302,0.0
94,Bancroft Middle School,LongBeach,33.839651,-118.129302,0.0
95,Birney Elementary School,LongBeach,33.81172909183673,-118.20044218367347,0.0
96,Bixby Elementary School,LongBeach,33.7992643,-118.1326464,0.0
97,Franklin Classical Middle School,LongBeach,33.77367078571429,-118.17807,0.0
98,Garfield Elementary School,LongBeach,33.797886,-118.21316277551021,0.0
99,Hughes Middle School,LongBeach,33.82821910204082,-118.18055406122448,0.0
100,Lincoln Elementary School,LongBeach,33.78086852173913,-118.17693082608696,0.0
101,Millikan High School,LongBeach,33.80665821917808,-118.11167436986301,0.0
102,Stanford Middle School,LongBeach,33.79962892279282,-118.11878932398982,0.0
103,Twain Elementary School,LongBeach,33.839667795918366,-118.13464553061223,0.0
104,Dooley Elementary School,LongBeach,33.8476931,-118.19503809242768,0.0
105,Bryant Elementary School,LongBeach,33.7839912,-118.14509615482608,0.0
106,Burbank Elementary School,LongBeach,33.77217138383838,-118.16433103030303,0.0
107,Burnett Elementary School,LongBeach,33.79719816666667,-118.18571974999999,0.0
108,Edison Elementary School,LongBeach,33.77384478787879,-118.20068737373738,0.0
109,Grant Elementary School,LongBeach,33.87089589393939,-118.17696588888889,0.0
110,Hamilton Middle School,LongBeach,33.8809089,-118.17961269619536,0.0
111,International Elementary School,LongBeach,33.775459,-118.190978,0.0
112,Jefferson Leadership Academies School,LongBeach,33.793881,-118.17414633165829,0.0
113,Lafayette Elementary School,LongBeach,33.80157910204082,-118.19597879591836,0.0
114,Lee Elementary School,LongBeach,33.787389081632654,-118.15882679591837,0.0
115,Muir K-8,LongBeach,33.81259959183674,-118.2109965510204,0.0
116,Polytechnic High School,LongBeach,33.788167,-118.184923,0.0
117,Robinson Academy,LongBeach,33.80711997959184,-118.19236804081633,0.0
118,Roosevelt Elementary School,LongBeach,33.78674041248928,-118.18658092182329,0.0
119,Stevenson Elementary School,LongBeach,33.77308778723404,-118.18379555319149,0.0
120,Wilson High School,LongBeach,33.778884,-118.140702,0.0
121,King Elementary School,LongBeach,33.87436079591837,-118.20173644897959,0.0
122,Powell Academy For Success,LongBeach,33.864769933568375,-118.20344235551119,0.0
123,Chavez Elementary School,LongBeach,33.769779,-118.20136784554828,0.0
124,Lindsey Academy,LongBeach,33.848430244474265,-118.199078,0.0
125,Rancho Dominguez Preparatory,LongBeach,33.814504,-118.2155288,0.0
126,Harte Elementary School,LongBeach,33.85881530320839,-118.17173563088168,0.0
127,McKinley Elementary School,LongBeach,33.878797326530616,-118.15990946938776,0.0
128,Webster Elementary School,LongBeach,33.81622255102041,-118.21590402040816,0.0
129,Willard Elementary School,LongBeach,33.779951653061225,-118.155764,0.0
