,city,school_name,school_rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district,English,Math,Science,pre_k_school,elementary_school,middle_school,high_school,ratio_bins,lat,lon,altitude,Asian,Black,Filipino,Hispanic,Native American,Pacific Islander,Two or more races,Unspecified,White
15,Lakewood,Lakewood High School,5,"4400 Briercrest Avenue, Lakewood, CA, 90713",https://www.greatschools.org/california/lakewood/2578-Lakewood-High-School/,Public district,9-12,3224.0,23:1,Long Beach Unified School District,48.0,12.0,19.0,False,False,False,True,21-30,33.83783373443825,-118.12314879613112,0.0,8%,19%,5%,48%,<1%,2%,2%,3%,13%
16,Lakewood,Melbourne (Ella P.) Elementary School,4,"21314 Claretta Avenue, Lakewood, CA, 90715",https://www.greatschools.org/california/lakewood/1422-Melbourne-Ella-P.-Elementary-School/,Public district,K-6,458.0,25:1,Abc Unified School District,34.0,16.0,12.0,False,True,False,False,21-30,33.83599371468603,-118.0675883141315,0.0,1%,1%,1%,93%,<1%,1%,,1%,2%
17,Lakewood,Craig Williams Elementary School,4,"6144 Clark Avenue, Lakewood, CA, 90712",https://www.greatschools.org/california/lakewood/1550-Craig-Williams-Elementary-School/,Public district,K-6,562.0,32:1,Bellflower Unified School District,31.0,17.0,14.0,False,True,False,False,30+,33.867218638066966,-118.13374764272938,0.0,5%,14%,5%,67%,<1%,2%,2%,,5%
18,Lakewood,Hoover Middle School,4,"3501 Country Club Drive, Lakewood, CA, 90712",https://www.greatschools.org/california/lakewood/2569-Hoover-Middle-School/,Public district,6-8,758.0,26:1,Long Beach Unified School District,40.0,15.0,17.0,False,False,True,False,21-30,33.83980566441134,-118.15146396915335,0.0,8%,21%,4%,53%,,3%,4%,2%,5%
19,Lakewood,Tutor Time Child Care Learning Center,Unrated,"6504 E S ST, Lakewood, CA, 90713",https://www.greatschools.org/california/lakewood/15494-Tutor-Time-Child-Care-Learning-Center/,Private,PK,34.0,Unknown,Private,,,,True,False,False,False,Unknown,33.8602379,-118.1466302,0.0,,,,,,,,,
20,Lakewood,Aloha Head Start-State Pre-School,Unrated,"11737 214th St, Lakewood, CA, 90715",https://www.greatschools.org/california/lakewood/19771-Aloha-Head-Start-State-Pre-School/,Private,PK,,Unknown,Private,,,,True,False,False,False,Unknown,33.83512817118265,-118.08412585572933,0.0,,,,,,,,,
21,Lakewood,Mothers At Work Children's Center,Unrated,"5510 Clark Avenue, Lakewood, CA, 90712",https://www.greatschools.org/california/lakewood/19777-Mothers-At-Work-Childrens-Center/,Private,PK-K,,Unknown,Private,,,,True,False,False,False,Unknown,33.85666327969541,-118.1338622618796,0.0,,,,,,,,,
22,Lakewood,Educare Preschool,Unrated,"4300 Bellflower Boulevard, Lakewood, CA, 90713",https://www.greatschools.org/california/long-beach/24238-Educare-Preschool/,Private,PK-K,44.0,Unknown,Private,,,,True,False,False,False,Unknown,33.836216,-118.125029,0.0,,,,,,,,,
23,Lakewood,Educare Preschool & Kindergarten,Unrated,"5730 South Street, Lakewood, CA, 90713",https://www.greatschools.org/california/lakewood/24239-Educare-Preschool--Kindergarten/,Private,PK-K,42.0,Unknown,Private,,,,True,False,False,False,Unknown,33.859035536306266,-118.11971428144662,0.0,,,,,,,,,
24,Lakewood,Smith's Family Day Care,Unrated,"5737 Canehill Avenue, Lakewood, CA, 90713",https://www.greatschools.org/california/lakewood/27325-Smiths-Family-Day-Care/,Private,PK,,Unknown,Private,,,,True,False,False,False,Unknown,33.86030230471136,-118.11115333609872,0.0,,,,,,,,,
25,Lakewood,Buena Vista High School,Unrated,"3717 Michelson Street, Lakewood, CA, 90712",https://www.greatschools.org/california/lakewood/2769-Buena-Vista-High-School/,Public district,9-12,197.0,9:1,Paramount Unified School District,18.0,1.0,5.0,False,False,False,True,<10,33.857246,-118.14714,0.0,,12%,,84%,,,2%,,2%
26,Lakewood,Riley Child Development Center,Unrated,"3319 Sandwood Street, Lakewood, CA, 90712",https://www.greatschools.org/california/lakewood/27804-Riley-Child-Development-Center/,Private,PK,,Unknown,Private,,,,True,False,False,False,Unknown,33.843944175057544,-118.1529083779876,0.0,,,,,,,,,
27,Lakewood,Weingart-Lakewood Ymca,Unrated,"5835 Carson Street, Lakewood, CA, 90713",https://www.greatschools.org/california/lakewood/27892-Weingart-Lakewood-Ymca/,Private,PK,,Unknown,Private,,,,True,False,False,False,Unknown,33.8313484,-118.0849102,0.0,,,,,,,,,
