,school_name,school rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district
30,Broman School,Unrated,"13545 Acoro Place, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/25943-Broman-School/,Private,1-12,6,N/A,N/A
31,Heritage Park Tot Lot,Unrated,"18826 Rochelle Avenue, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/28990-Heritage-Park-Tot-Lot/,Private,PK,N/A,N/A,N/A
32,Fecc Children Academy,Unrated,"11330 166th Street, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/29411-Fecc-Children-Academy/,Private,PK-K,N/A,N/A,N/A
33,Carlyle Family Day Care,Unrated,"17008 Maurice Avenue, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/29694-Carlyle-Family-Day-Care/,Private,PK,N/A,N/A,N/A
34,Sonshine Ps-Cerritos Ch Nzrne,Unrated,"12229 Del Amo Boulevard, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/30471-Sonshine-Ps-Cerritos-Ch-Nzrne/,Private,PK,N/A,N/A,N/A
35,Valley Christian High School,Unrated,"17700 Dumont Avenue, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/33201-Valley-Christian-High-School/,Private,9-12,462,N/A,N/A
36,Valley Christian Schools,Unrated,"10818 Artesia Boulevard, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/33680-Valley-Christian-Schools/,Private,PK-12,1161,N/A,N/A
37,Valley Christian High School,Unrated,"17700 Dumont Avenue, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/8544-Valley-Christian-High-School/,Private,9-12,581,N/A,N/A
38,Valley Christian Middle School,Unrated,"18100 Dumont Avenue, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/9067-Valley-Christian-Middle-School/,Private,7-8,183,N/A,N/A
39,Concordia Lutheran Preschool,Unrated,"13633 183rd Street, Cerritos, CA, 90703",https://www.greatschools.org/california/cerritos/9369-Concordia-Lutheran-Preschool/,Private,PK,N/A,N/A,N/A
