,school_name,subject_name,subject_score
146,Wilson High School,Science ,13%
147,King Elementary School,English ,33%
148,King Elementary School,Math ,21%
149,King Elementary School,Science ,18%
150,Powell Academy For Success,Math ,22%
151,Powell Academy For Success,English ,34%
152,Powell Academy For Success,Science ,16%
153,Chavez Elementary School,Math ,14%
154,Chavez Elementary School,English ,29%
155,Chavez Elementary School,Science ,13%
156,Lindsey Academy,Math ,13%
157,Lindsey Academy,English ,35%
158,Lindsey Academy,Science ,10%
159,Rancho Dominguez Preparatory,English ,41%
160,Rancho Dominguez Preparatory,Math ,23%
161,Rancho Dominguez Preparatory,Science ,12%
162,Harte Elementary School,Math ,25%
163,Harte Elementary School,English ,32%
164,Harte Elementary School,Science ,14%
165,McKinley Elementary School,English ,36%
166,McKinley Elementary School,Math ,22%
167,McKinley Elementary School,Science ,18%
168,Webster Elementary School,Math ,24%
169,Webster Elementary School,English ,34%
170,Webster Elementary School,Science ,14%
171,Willard Elementary School,Math ,25%
172,Willard Elementary School,English ,28%
173,Willard Elementary School,Science ,21%
174,Richard D. Browning High,Math ,6%
175,Richard D. Browning High,English ,42%
176,Richard D. Browning High,Science ,7%
177,Barton Elementary School,English ,23%
178,Barton Elementary School,Math ,14%
179,Barton Elementary School,Science ,16%
180,Hudson K-8,English ,31%
181,Hudson K-8,Math ,21%
182,Hudson K-8,Science ,5%
183,Lindbergh Middle School,English ,32%
184,Lindbergh Middle School,Math ,13%
185,Lindbergh Middle School,Science ,9%
186,Mann Elementary School,Math ,29%
187,Mann Elementary School,English ,35%
188,Mann Elementary School,Science ,7%
189,Stephens Middle School,Math ,15%
190,Stephens Middle School,English ,26%
191,Stephens Middle School,Science ,15%
192,Washington Middle School,Math ,13%
193,Washington Middle School,English ,29%
194,Washington Middle School,Science ,5%
195,Captain Raymond Collins School,English ,25%
196,Captain Raymond Collins School,Math ,15%
197,Captain Raymond Collins School,Science ,5%
198,Cabrillo High School,Math ,9%
199,Cabrillo High School,English ,38%
200,Cabrillo High School,Science ,9%
201,Jordan High School,English ,31%
202,Jordan High School,Math ,6%
203,Jordan High School,Science ,7%
204,Whittier Elementary School,Math ,15%
205,Whittier Elementary School,English ,17%
206,Whittier Elementary School,Science ,13%
207,Intellectual Virtues Academy,Math ,4%
208,Intellectual Virtues Academy,English ,34%
209,Intellectual Virtues Academy,Science ,8%
210,Educational Partnership High School,English ,24%
211,Educational Partnership High School,Math ,2%
212,Educational Partnership High School,Science ,12%
213,Renaissance High School For The Arts,Math ,6%
214,Renaissance High School For The Arts,English ,33%
215,Beach High-Intensive Learning Program,English ,47%
216,Beach High-Intensive Learning Program,Math ,32%
217,Beach High-Intensive Learning Program,Science ,22%
218,Reid High School,English ,4%
219,Reid High School,Math ,<1%
220,Reid High School,Science ,<1%
221,The Education Corps,English ,15%
222,The Education Corps,Math ,<1%
223,Clear Passage Educational Center,English ,9%
