,school_name,school rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district
110,Montessori Children's House 1,Unrated,"5550 East Atherton Street, Long Beach, CA, 90815",https://www.greatschools.org/california/long-beach/19899-Montessori-Childrens-House-1/,Private,PK,N/A,N/A,N/A
111,West Child Development Center,Unrated,"2125 Santa Fe Ave, Long Beach, CA, 90810",https://www.greatschools.org/california/long-beach/19900-West-Child-Development-Center/,Private,PK,N/A,N/A,N/A
112,Garfield Child Development Center-School Age,Unrated,"2240 Baltic Ave, Long Beach, CA, 90810",https://www.greatschools.org/california/long-beach/19901-Garfield-Child-Development-Center-School-Age/,Private,PK,N/A,N/A,N/A
113,Young Horizons-N Pacific,Unrated,"2418 Pacific Ave, Long Beach, CA, 90806",https://www.greatschools.org/california/long-beach/19903-Young-Horizons-N-Pacific/,Private,PK,N/A,N/A,N/A
114,Grace Lutheran Christian Pre-School,Unrated,"245 West Wardlow Road, Long Beach, CA, 90807",https://www.greatschools.org/california/long-beach/19904-Grace-Lutheran-Christian-Pre-School/,Private,PK,N/A,N/A,N/A
115,Palo Verde Christian Ch Nursery,Unrated,"2501 Palo Verde Avenue, Long Beach, CA, 90815",https://www.greatschools.org/california/long-beach/19905-Palo-Verde-Christian-Ch-Nursery/,Private,PK,N/A,N/A,N/A
116,Magnolia Children Club-Comp Dev,Unrated,"2545 Pacific Ave, Long Beach, CA, 90806",https://www.greatschools.org/california/long-beach/19906-Magnolia-Children-Club-Comp-Dev/,Private,PK,N/A,N/A,N/A
117,First Baptist Pre-School & Kindergarten,Unrated,"2679 E Carson St, Long Beach, CA, 90810",https://www.greatschools.org/california/long-beach/19907-First-Baptist-Pre-School--Kindergarten/,Private,PK,N/A,N/A,N/A
118,Great Beginnings,Unrated,"3027 East 4th Street, Long Beach, CA, 90814",https://www.greatschools.org/california/long-beach/19908-Great-Beginnings/,Private,PK,N/A,N/A,N/A
119,A Love 4 Learning Academy,Unrated,"306 Elm Ave, Long Beach, CA, 90802",https://www.greatschools.org/california/long-beach/19909-A-Love-4-Learning-Academy/,Private,PK,N/A,N/A,N/A
120,Long Beach Kiddy Kollege,Unrated,"3090 Long Beach Boulevard, Long Beach, CA, 90807",https://www.greatschools.org/california/long-beach/19910-Long-Beach-Kiddy-Kollege/,Private,PK,N/A,N/A,N/A
121,Muir Child Development Center,Unrated,"3105 Easy St, Long Beach, CA, 90810",https://www.greatschools.org/california/long-beach/19911-Muir-Child-Development-Center/,Private,PK,N/A,N/A,N/A
122,Belmont Heights Un Methodist Nursery,Unrated,"317 Termino Avenue, Long Beach, CA, 90814",https://www.greatschools.org/california/long-beach/19912-Belmont-Heights-Un-Methodist-Nursery/,Private,PK-K,N/A,N/A,N/A
123,Sander's Teeny Tiny Pre-School,Unrated,"3211 Santa Fe Ave, Long Beach, CA, 90810",https://www.greatschools.org/california/long-beach/19913-Sanders-Teeny-Tiny-Pre-School/,Private,PK,N/A,N/A,N/A
124,Mann Child Development Center,Unrated,"4310 Long Beach Boulevard #200, Long Beach, CA, 90807",https://www.greatschools.org/california/long-beach/19914-Mann-Child-Development-Center/,Private,PK-K,N/A,N/A,N/A
125,Christian Life Learning Center,Unrated,"3400 Pacific Ave, Long Beach, CA, 90807",https://www.greatschools.org/california/long-beach/19915-Christian-Life-Learning-Center/,Private,PK,N/A,N/A,N/A
126,YMCA-GLB-Lutheran Church Site,Unrated,"345 E Carson St, Long Beach, CA, 90807",https://www.greatschools.org/california/long-beach/19917-YMCA-GLB-Lutheran-Church-Site/,Private,PK,N/A,N/A,N/A
127,Bundle Of Joy Day Care 4,Unrated,"3588 Long Beach Boulevard, Long Beach, CA, 90807",https://www.greatschools.org/california/long-beach/19918-Bundle-Of-Joy-Day-Care-4/,Private,PK-K,N/A,N/A,N/A
128,Kidworks Children Center,Unrated,"3621 East Broadway, Long Beach, CA, 90803",https://www.greatschools.org/california/long-beach/19919-Kidworks-Children-Center/,Private,PK-K,N/A,N/A,N/A
