,school_name,school rating,school_address,school_url,school_type,school_grades,school_total_students,school_teacher_ratio,school_district
30,Carmela Elementary School,"4
/10","13300 Lakeland Road, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/2946-Carmela-Elementary-School/,Public district,K-6,389,26:1,South Whittier Elementary School District
31,Loma Vista Elementary School,"4
/10","13463 Meyer Road, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/2948-Loma-Vista-Elementary-School/,Public district,K-6,458,23:1,South Whittier Elementary School District
32,Howard J. Mckibben Elementary School,"4
/10","10550 Mills Avenue, Whittier, CA, 90604",https://www.greatschools.org/california/whittier/2950-Howard-J.-Mckibben-Elementary-School/,Public district,K-6,367,23:1,South Whittier Elementary School District
33,Walter F. Dexter Middle School,"4
/10","11532 Floral Drive, Whittier, CA, 90601",https://www.greatschools.org/california/whittier/3009-Walter-F.-Dexter-Middle-School/,Public district,6-8,965,28:1,Whittier City Elementary School District
34,Lou Henry Hoover Elementary School,"4
/10","6302 Alta Avenue, Whittier, CA, 90601",https://www.greatschools.org/california/whittier/3011-Lou-Henry-Hoover-Elementary-School/,Public district,K-5,401,27:1,Whittier City Elementary School District
35,Lydia Jackson Elementary School,"4
/10","8015 Painter Avenue, Whittier, CA, 90602",https://www.greatschools.org/california/whittier/3012-Lydia-Jackson-Elementary-School/,Public district,K-5,429,22:1,Whittier City Elementary School District
36,Lake Marie Elementary School,"3
/10","10001 Carmenita Road, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/2947-Lake-Marie-Elementary-School/,Public district,K-6,244,21:1,South Whittier Elementary School District
37,Los Altos Elementary School,"3
/10","12001 Bonavista Lane, Whittier, CA, 90604",https://www.greatschools.org/california/whittier/2949-Los-Altos-Elementary-School/,Public district,K-3,331,28:1,South Whittier Elementary School District
38,Richard L. Graves Middle School,"3
/10","13243 Los Nietos Road, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/2952-Richard-L.-Graves-Middle-School/,Public district,7-8,678,21:1,South Whittier Elementary School District
39,The Broadoaks Childrens School,Unrated,"PO BOX 634, Whittier, CA, 90608",https://www.greatschools.org/california/whittier/10071-The-Broadoaks-Childrens-School/,Private,PK-8,N/A,N/A,N/A
40,Whittier Christian School - Maybrook,Unrated,"11700 Maybrook Avenue, Whittier, CA, 90604",https://www.greatschools.org/california/whittier/10556-Whittier-Christian-School---Maybrook/,Private,K-6,262,N/A,N/A
41,Whittier Christian Schools - Satellite,Unrated,"6548 Newlin Avenue, Whittier, CA, 90601",https://www.greatschools.org/california/whittier/10699-Whittier-Christian-Schools---Satellite/,Private,K-12,195,N/A,N/A
42,Sierra Vista High (Alternative) School,Unrated,"9401 Painter Avenue, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/10972-Sierra-Vista-High-Alternative-School/,Public district,9-12,236,21:1,Whittier Union High School District
43,Remnant Christian School,Unrated,"7346 Painter Avenue, Whittier, CA, 90602",https://www.greatschools.org/california/whittier/12712-Remnant-Christian-School/,Private,7-11,8,N/A,N/A
44,East Whittier Umc Preschool,Unrated,"10005 Cole Road, Whittier, CA, 90603",https://www.greatschools.org/california/whittier/12772-East-Whittier-Umc-Preschool/,Private,PK-K,65,N/A,N/A
45,Broadoaks School Of Whittier College,Unrated,"13514 Olive Drive, Whittier, CA, 90601",https://www.greatschools.org/california/whittier/12883-Broadoaks-School-Of-Whittier-College/,Private,K-8,248,N/A,N/A
46,Family Life Center Christian Academy,Unrated,"7435 Norwalk Boulevard, Whittier, CA, 90606",https://www.greatschools.org/california/whittier/13347-Family-Life-Center-Christian-Academy/,Private,K-12,32,N/A,N/A
47,Joyland Nursery School and Kindergarten,Unrated,"9122 Painter Avenue, Whittier, CA, 90602",https://www.greatschools.org/california/whittier/13562-Joyland-Nursery-School-And-Kindergarten/,Private,K,3,N/A,N/A
48,Lad N Lassie Preschool,Unrated,"12620 Broadway Avenue, Whittier, CA, 90601",https://www.greatschools.org/california/whittier/13563-Lad-N-Lassie-Preschool/,Private,PK,250,N/A,N/A
49,Bumble Bee Christian Learning Center,Unrated,"16702 Sausalito Drive, Whittier, CA, 90603",https://www.greatschools.org/california/whittier/13594-Bumble-Bee-Christian-Learning-Center/,Private,PK,N/A,N/A,N/A
50,Adult Division Center,Unrated,"9401 South Painter Avenue, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/13813-Adult-Division-Center/,Public district,Ungraded,N/A,N/A,Whittier Union High School District
51,Tri-Cities Rop School,Unrated,"10800 Ben Avon Street, Whittier, CA, 90606",https://www.greatschools.org/california/whittier/14946-Tri-Cities-Rop-School/,Public district,9-12,N/A,N/A,Tri-Cities Rop School District
52,Carden Whittier Private School,Unrated,"11537 Grovedale Drive, Whittier, CA, 90604",https://www.greatschools.org/california/whittier/15572-Carden-Whittier-Private-School/,Private,PK-8,225,N/A,N/A
53,Mulberry Tree Preschool,Unrated,"13841 Christine Drive, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/15731-Mulberry-Tree-Preschool/,Private,PK,96,N/A,N/A
54,Shepherd Of The Hills Pre-School,Unrated,"15215 Janine Drive, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/15732-Shepherd-Of-The-Hills-Pre-School/,Private,PK,N/A,N/A,N/A
55,B'nai Ha Aliyah - Children Of Ascent Academy,Unrated,"7408 Gretna Avenue, Whittier, CA, 90606",https://www.greatschools.org/california/whittier/15984-Bnai-Ha-Aliyah---Children-Of-Ascent-Academy/,Private,1-12,16,N/A,N/A
56,Painter Avenue Christian,Unrated,"6745 South Washington Avenue, Whittier, CA, 90601",https://www.greatschools.org/california/whittier/16114-Painter-Avenue-Christian/,Private,K-12,N/A,N/A,N/A
57,Solid Faith Christian School,Unrated,"5724 Esperanza Ave, Whittier, CA, 90606",https://www.greatschools.org/california/whittier/16150-Solid-Faith-Christian-School/,Private,K-12,N/A,N/A,N/A
58,Walker Academy,Unrated,"14033 East Anola Street, Whittier, CA, 90604",https://www.greatschools.org/california/whittier/16184-Walker-Academy/,Private,K-12,N/A,N/A,N/A
59,Calvary Chapel Christian School Of Whittier,Unrated,"12817 Hadley Street, Whittier, CA, 90601",https://www.greatschools.org/california/whittier/17166-Calvary-Chapel-Christian-School-Of-Whittier/,Private,1-12,30,N/A,N/A
60,Primanti Montessori School - Whittier,Unrated,"27912 Alaflora Drive Rancho Palos Verdes, CA 90275, Whittier, CA, 90603",https://www.greatschools.org/california/whittier/17209-Primanti-Montessori-School---Whittier/,Private,K-8,97,N/A,N/A
61,Victory Outreach Children's Learning Center,Unrated,"6726 Milton Avenue, Whittier, CA, 90601",https://www.greatschools.org/california/whittier/17222-Victory-Outreach-Childrens-Learning-Center/,Private,K-5,34,N/A,N/A
62,Salvation Army Pre-School,Unrated,"12000 Washington Boulevard, Whittier, CA, 90606",https://www.greatschools.org/california/whittier/22775-Salvation-Army-Pre-School/,Private,PK,N/A,N/A,N/A
63,Salvation Army Sa-Santa Fe Spg,Unrated,"12000 Washington Boulevard, Whittier, CA, 90606",https://www.greatschools.org/california/whittier/22776-Salvation-Army-Sa-Santa-Fe-Spg/,Private,PK,N/A,N/A,N/A
64,Kids & Blocks,Unrated,"5737 El Rancho Drive, Whittier, CA, 90606",https://www.greatschools.org/california/whittier/23645-Kids--Blocks/,Private,PK,N/A,N/A,N/A
65,Hope Lutheran Pre-School,Unrated,"10327 S Valley Home Ave, Whittier, CA, 90603",https://www.greatschools.org/california/whittier/23646-Hope-Lutheran-Pre-School/,Private,PK,N/A,N/A,N/A
66,Santa Fe Kid Company,Unrated,"11304 Washington Boulevard, Whittier, CA, 90606",https://www.greatschools.org/california/whittier/23647-Santa-Fe-Kid-Company/,Private,PK-K,N/A,N/A,N/A
67,Carmela Children's Center,Unrated,"11325 Carmenita Rd, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/23648-Carmela-Childrens-Center/,Private,PK,N/A,N/A,N/A
68,St. Andrew Lutheran Pre-School,Unrated,"11345 Miller Rd, Whittier, CA, 90604",https://www.greatschools.org/california/whittier/23649-St.-Andrew-Lutheran-Pre-School/,Private,PK,N/A,N/A,N/A
69,Whittier Village CHLDRN's Center,Unrated,"13222 Bailey St, Whittier, CA, 90601",https://www.greatschools.org/california/whittier/23652-Whittier-Village-CHLDRNs-Center/,Private,PK,N/A,N/A,N/A
70,Mulberry Tree Pre-School,Unrated,"13841 Christine Drive, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/23653-Mulberry-Tree-Pre-School/,Private,PK,N/A,N/A,N/A
71,E Whittier Presbyterian Pre-School,Unrated,"14061 2nd Street, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/23654-E-Whittier-Presbyterian-Pre-School/,Private,PK,N/A,N/A,N/A
72,YMCA School Age-Ceres,Unrated,"15740 Starbuck St, Whittier, CA, 90603",https://www.greatschools.org/california/whittier/23655-YMCA-School-Age-Ceres/,Private,PK,N/A,N/A,N/A
73,Rio Hondo Pre-School Lab,Unrated,"3600 Workman Mill Road, Whittier, CA, 90601",https://www.greatschools.org/california/whittier/23656-Rio-Hondo-Pre-School-Lab/,Private,PK,N/A,N/A,N/A
74,Charo Child Development Center,Unrated,"5777 Lockheed Avenue, Whittier, CA, 90606",https://www.greatschools.org/california/whittier/23657-Charo-Child-Development-Center/,Private,PK,N/A,N/A,N/A
75,Whittier Presbyterian Nursery School,Unrated,"6030 El Rancho Drive, Whittier, CA, 90606",https://www.greatschools.org/california/whittier/23658-Whittier-Presbyterian-Nursery-School/,Private,PK,N/A,N/A,N/A
76,Ready Set Grow,Unrated,"6556 Bright Avenue, Whittier, CA, 90601",https://www.greatschools.org/california/whittier/23660-Ready-Set-Grow/,Private,PK,N/A,N/A,N/A
77,Brethen Pre-School,Unrated,"8101 Vicki Dr, Whittier, CA, 90606",https://www.greatschools.org/california/whittier/23662-Brethen-Pre-School/,Private,PK,N/A,N/A,N/A
78,College Avenue Da C,Unrated,"8221 College Avenue, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/23663-College-Avenue-Da-C/,Private,PK,N/A,N/A,N/A
79,E Whittier Christian Pre-School,Unrated,"9951 Mills Ave, Whittier, CA, 90604",https://www.greatschools.org/california/whittier/23664-E-Whittier-Christian-Pre-School/,Private,PK,N/A,N/A,N/A
80,Children's Center,Unrated,"10005 South Cole Road, Whittier, CA, 90603",https://www.greatschools.org/california/whittier/23841-Childrens-Center/,Private,K,N/A,N/A,N/A
81,Whittier KinderCare,Unrated,"10704 Scott Avenue, Whittier, CA, 90604",https://www.greatschools.org/california/whittier/24871-Whittier-KinderCare/,Private,PK,N/A,N/A,N/A
82,Whittier Area Community Day School,Unrated,"5777 Lockheed Avenue, Whittier, CA, 90606",https://www.greatschools.org/california/whittier/25441-Whittier-Area-Community-Day-School/,Public district,6-8,11,8:1,Whittier City Elementary School District
83,Whittier Independent Study,Unrated,"5777 Lockheed Avenue, Whittier, CA, 90606",https://www.greatschools.org/california/whittier/27028-Whittier-Independent-Study/,Public district,K-8,1,1:1,Whittier City Elementary School District
84,El Camino High (Continuation) School,Unrated,"14625 Keese Drive, Whittier, CA, 90604",https://www.greatschools.org/california/whittier/2719-El-Camino-High-Continuation-School/,Public district,9-12,247,11:1,Norwalk-La Mirada Unified School District
85,Brighter Beginnings in Child Care,Unrated,"14124 Busby Dr, Whittier, CA, 90604",https://www.greatschools.org/california/whittier/27286-Brighter-Beginnings-In-Child-Care/,Private,PK-7,N/A,N/A,N/A
86,Faith Lutheran Church School,Unrated,"9920 Mills Avenue, Whittier, CA, 90604",https://www.greatschools.org/california/whittier/27367-Faith-Lutheran-Church-School/,Private,PK,N/A,N/A,N/A
87,Carmela Head Start,Unrated,"11924 Leland Avenue, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/27412-Carmela-Head-Start/,Private,PK,N/A,N/A,N/A
88,West Whittier Head Start,Unrated,"6411 Norwalk Boulevard, Whittier, CA, 90606",https://www.greatschools.org/california/whittier/27546-West-Whittier-Head-Start/,Private,PK,N/A,N/A,N/A
89,E Whittier Ymca Dcc,Unrated,"15740 Starbuck Street, Whittier, CA, 90603",https://www.greatschools.org/california/whittier/27547-E-Whittier-Ymca-Dcc/,Private,PK,N/A,N/A,N/A
90,Options State Pre-Sch-Laurel,Unrated,"9055 Laurel Avenue, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/28151-Options-State-Pre-Sch-Laurel/,Private,PK,N/A,N/A,N/A
91,Victory Outreach Children's Lc,Unrated,"6726 Milton Avenue, Whittier, CA, 90601",https://www.greatschools.org/california/whittier/28290-Victory-Outreach-Childrens-Lc/,Private,PK,N/A,N/A,N/A
92,Belaire Little People Pre-School,Unrated,"8104 Stoneridge Drive, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/28556-Belaire-Little-People-Pre-School/,Private,PK,N/A,N/A,N/A
93,Lesten Call,Unrated,"11544 Mina Avenue, Whittier, CA, 90605",https://www.greatschools.org/california/whittier/29044-Lesten-Call/,Private,PK,N/A,N/A,N/A
